Tiempo de ensamblaje(s)     Tiempo en calcular(s)     Tamaño matriz 
0.0003210000000990476   0.0019713000000365355   150 
0.0011915999999700944   0.0039375000000063665   200 
0.0029666000000361237   0.0070687999999563544   300 
0.006705499999952735   0.030498299999976552   500 
0.02419990000009875   0.09512560000007397   750 
0.036898300000075324   0.18767419999994672   1000 
0.11711059999993267   1.1488868000000139   1800 
0.5886362999999619   2.6833583999999746   2500 
0.008716399999912028   0.0072992999999996755   2 
6.599999994705286e-05   0.0003599000000349406   3 
4.03000000233078e-05   0.0002849999999625652   5 
4.089999993084348e-05   0.00028249999991203367   7 
3.939999999147403e-05   0.0002869999999575157   10 
7.17000000349799e-05   0.000285200000007535   12 
7.350000009864743e-05   0.000289000000066153   15 
7.93000000385291e-05   0.00035289999993892707   20 
0.0002484999999978754   0.0003596999999899708   30 
0.0002461000000266722   0.00048160000005736947   40 
0.000742599999966842   0.000847099999987222   50 
0.0007075999999415217   0.0011455999999725464   70 
0.0007102000000713815   0.001766399999951318   100 
0.0007088999999496082   0.002687100000002829   150 
0.0006802000000334374   0.004144500000052176   200 
0.0027655000000095242   0.007791600000018661   300 
0.0058028000000831526   0.027250800000047093   500 
0.022987499999999272   0.09233280000000832   750 
0.03855820000001131   0.19052990000000136   1000 
0.11706189999995331   0.7885276999999178   1800 
0.5855525000000625   3.06512680000003   2500 
0.010774100000048747   0.010389099999997597   2 
5.6300000096598524e-05   0.00017400000001543958   3 
2.9199999971751822e-05   0.00010969999993903912   5 
2.819999997427658e-05   0.00010919999999714491   7 
3.6500000078376615e-05   0.0002862000000050102   10 
6.350000001020817e-05   0.00025779999998576386   12 
6.550000000515865e-05   0.0002596000000494314   15 
6.69999999445281e-05   0.0002018999999791049   20 
0.0003001999999696636   0.0003484000000071319   30 
0.00012870000000475557   0.0004600999999411215   40 
0.0006823999999596708   0.0007719000000179221   50 
0.0006408000000419634   0.0010560000000623404   70 
0.0007844000000432061   0.0014595999999755804   100 
0.0006459999999606225   0.002448899999990317   150 
0.0010768999999299922   0.003878200000031029   200 
0.0026582000000416883   0.007379200000059427   300 
0.006896700000083911   0.03012130000001889   500 
0.02256610000006276   0.09413129999995817   750 
0.037510999999994965   0.19063330000005863   1000 
0.12876919999996517   0.7676732999999558   1800 
0.28564300000005005   3.3467476000000715   2500 
0.013273199999957797   0.012440400000059526   2 
7.100000004811591e-05   0.00036610000006476184   3 
4.520000004504254e-05   0.00031860000001415756   5 
4.46999999894615e-05   0.0003060999999888736   7 
4.369999999198626e-05   0.0003074999999626016   10 
7.879999998294807e-05   0.00031420000004800386   12 
8.330000002843008e-05   0.00031219999993936653   15 
8.420000006026385e-05   0.0003366999999343534   20 
0.000413999999977932   0.00037559999998393323   30 
0.0005403999999771258   0.0004993000000013126   40 
0.0008447999999816602   0.000927799999999479   50 
0.0008208000000422544   0.001594700000055127   70 
0.0006859999999733191   0.001942399999961708   100 
0.0008215000000291184   0.002902999999946587   150 
0.001871200000095996   0.00627750000001015   200 
0.0030381999999917753   0.010237800000027164   300 
0.008427900000015143   0.027770299999929193   500 
0.020578600000021652   0.0928367999999864   750 
0.036327500000084   0.1925348000000895   1000 
0.11718359999997574   0.8064054000000169   1800 
0.17168069999991076   3.49687629999994   2500 
0.012362299999949755   0.012241799999969771   2 
9.079999995265098e-05   0.0002779999999802385   3 
7.819999996172555e-05   0.00025649999997767736   5 
7.769999990614451e-05   0.00023649999991448567   7 
8.289999993849051e-05   0.0002751999999190957   10 
0.00020330000006651971   0.0003955999999334381   12 
